title,description
Electronics Engineering Technicians,"Lay out, build, test, troubleshoot, repair, and modify developmental and production electronic components, parts, equipment, and systems, such as computer equipment, missile control instrumentation, electron tubes, test equipment, and machine tool numerical controls, applying principles and theories of electronics, electrical circuitry, engineering mathematics, electronic and electrical testing, and physics. Usually work under direction of engineering staff."
Electrical Engineering Technicians,Test or modify developmental or operational electrical machinery or electrical control equipment and circuitry in industrial or commercial plants or laboratories. Usually work under direction of engineers or technologists.
Electro-Mechanical Technicians,"Operate, test, maintain, or calibrate unmanned, automated, servo-mechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment at worksites, such as oil rigs, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment."
Robotics Technicians,"Build, install, test, or maintain robotic equipment or related automated production systems."
Environmental Engineering Technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientist. May assist in the development of environmental remediation devices."
Industrial Engineering Technicians,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency."
Mechanical Engineering Technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or calibrate machinery and equipment under direction of engineering staff or physical scientists."
Automotive Engineering Technicians,"Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency."
"Engineering Technicians, Except Drafters, All Other","All engineering technicians, except drafters, not listed separately."
Non-Destructive Testing Specialists,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment."
Electrical Engineering Technologists,"Assist electrical engineers in such activities as process control, electrical power distribution, or instrumentation design. May prepare layouts of electrical transmission or distribution systems, supervise the flow of work, estimate project costs, or participate in research studies."
Electromechanical Engineering Technologists,"Assist electromechanical engineers in such activities as computer-based process control, instrumentation, or machine design. May prepare layouts of machinery or equipment, plan the flow of work, conduct statistical studies, or analyze production costs."
Electronics Engineering Technologists,Assist electronics engineers in such activities as electronics systems and instrumentation design or digital signal processing.
Industrial Engineering Technologists,"Assist industrial engineers in such activities as quality control, inventory control, or material flow methods. May conduct statistical studies or analyze production costs."
Manufacturing Engineering Technologists,"Develop tools, implement designs, or integrate machinery, equipment, or computer technologies to ensure effective manufacturing processes."
Mechanical Engineering Technologists,"Assist mechanical engineers in such activities as generation, transmission, or use of mechanical or fluid energy. Prepare layouts of machinery or equipment or plan the flow of work. May conduct statistical studies or analyze production costs."
Photonics Technicians,"Build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment."
Manufacturing Production Technicians,"Set up, test, and adjust manufacturing machinery or equipment, using any combination of electrical, electronic, mechanical, hydraulic, pneumatic, or computer technologies."
Fuel Cell Technicians,"Install, operate, or maintain integrated fuel cell systems in transportation, stationary, or portable applications."
Nanotechnology Engineering Technologists,"Implement production processes for nanoscale designs to produce or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff."
Nanotechnology Engineering Technicians,"Operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of molecular or macromolecular composition. Work under the supervision of engineering staff."
Surveying and Mapping Technicians,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps."
Surveying Technicians,"Adjust and operate surveying instruments, such as the theodolite and electronic distance-measuring equipment, and compile notes, make sketches and enter data into computers."
Mapping Technicians,"Calculate mapmaking information from field notes, and draw and verify accuracy of topographical maps."
Animal Scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals."
Food Scientists and Technologists,"Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food."
Soil and Plant Scientists,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity."
Biologists,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions."
Biochemists and Biophysicists,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms."
Microbiologists,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms."
Zoologists and Wildlife Biologists,"Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats."
"Biological Scientists, All Other",All biological scientists not listed separately.
Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information."
Molecular and Cellular Biologists,Research and study cellular molecules and organelles to understand cell function and organization.
Geneticists,"Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders."
Conservation Scientists,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering."
Soil and Water Conservationists,"Plan or develop coordinated practices for soil erosion control, soil or water conservation, or sound land use."
Range Managers,"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife."
Park Naturalists,"Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park."
Foresters,"Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules."
Epidemiologists,"Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control."
"Medical Scientists, Except Epidemiologists","Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities. Includes physicians, dentists, public health specialists, pharmacologists, and medical pathologists who primarily conduct research."
"Life Scientists, All Other",All life scientists not listed separately.
Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems."
Physicists,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories."
Atmospheric and Space Scientists,"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology."
Chemists,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.
Materials Scientists,"Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists."
"Environmental Scientists and Specialists, Including Health","Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or the health of the population. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources."
Climate Change Analysts,"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches."
Environmental Restoration Planners,"Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management."
Industrial Ecologists,Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.
"Geoscientists, Except Hydrologists and Geographers","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, crystallographers, paleontologists, stratigraphers, geodesists, and seismologists."
Hydrologists,"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation, its rate of infiltration into the soil, movement through the earth, and its return to the ocean and atmosphere."
"Physical Scientists, All Other",All physical scientists not listed separately.
Remote Sensing Scientists and Technologists,"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems."
Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods."
Environmental Economists,"Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques."
Survey Researchers,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams."
"Clinical, Counseling, and School Psychologists","Diagnose and treat mental disorders; learning disabilities; and cognitive, behavioral, and emotional problems, using individual, child, family, and group therapies. May design and implement behavior modification programs."
School Psychologists,Investigate processes of learning and teaching and develop psychological principles and techniques applicable to educational problems.
Clinical Psychologists,"Diagnose or evaluate mental and emotional disorders of individuals through observation, interview, and psychological tests, and formulate and administer programs of treatment."
Counseling Psychologists,"Assess and evaluate individuals' problems through the use of case history, interview, and observation and provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment."
Industrial-Organizational Psychologists,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity."
"Psychologists, All Other",All psychologists not listed separately.
Neuropsychologists and Clinical Neuropsychologists,Apply theories and principles of neuropsychology to diagnose and treat disorders of higher cerebral functioning.
Sociologists,"Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members."
Urban and Regional Planners,"Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas."
Anthropologists and Archeologists,"Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations."
Anthropologists,"Research, evaluate, and establish public policy concerning the origins of humans; their physical, social, linguistic, and cultural development; and their behavior, as well as the cultures, organizations, and institutions they have created."
Archeologists,"Conduct research to reconstruct record of past human life and culture from human remains, artifacts, architectural features, and structures recovered through excavation, underwater recovery, or other means of discovery."
Geographers,"Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global."
Historians,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters."
Political Scientists,"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decision-making, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents."
"Social Scientists and Related Workers, All Other",All social scientists and related workers not listed separately.
Transportation Planners,"Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations."
Agricultural and Food Science Technicians,"Work with agricultural and food scientists in food, fiber, and animal research, production, and processing; and assist with animal breeding and nutrition. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects. Includes technicians who assist food scientists or technologists in the research and development of production technology, quality control, packaging, processing, and use of foods."
Agricultural Technicians,Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments.
Food Science Technicians,Perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products.
Biological Technicians,"Assist biological and medical scientists in laboratories. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs."
Chemical Technicians,"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences."
Geological and Petroleum Technicians,"Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in both laboratory and production activities to obtain data indicating potential resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes. Investigate and collect information leading to the possible discovery of new metallic ore, minerals, gas, coal, or petroleum deposits."
Geophysical Data Technicians,"Measure, record, or evaluate geological data, using sonic, electronic, electrical, seismic, or gravity-measuring instruments to prospect for oil or gas. May collect or evaluate core samples or cuttings."
Geological Sample Test Technicians,"Test or analyze geological samples, crude oil, or minerals to detect presence of petroleum, gas, or mineral deposits indicating potential for exploration or production or to determine physical or chemical properties to ensure that products meet quality standards."
Nuclear Technicians,"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory or production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation."
Nuclear Equipment Operation Technicians,"Operate equipment used for the release, control, or utilization of nuclear energy to assist scientists in laboratory or production activities."
Nuclear Monitoring Technicians,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment."
Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management."
City and Regional Planning Aides,"Compile data from various sources, such as maps, reports, and field and file investigations, for use by city planner in making planning studies."
"Environmental Science and Protection Technicians, Including Health","Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing."
Forensic Science Technicians,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry."
Forest and Conservation Technicians,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts, under the direction of foresters; or train and lead forest workers in forest propagation, fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats."
"Life, Physical, and Social Science Technicians, All Other","All life, physical, and social science technicians not listed separately."
Quality Control Analysts,"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests."
Precision Agriculture Technicians,"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather."
Remote Sensing Technicians,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips."
Substance Abuse and Behavioral Disorder Counselors,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs."
"Educational, Guidance, School, and Vocational Counselors",Counsel individuals and provide group educational and vocational guidance services.
Marriage and Family Therapists,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders."
Mental Health Counselors,"Counsel with emphasis on prevention. Work with individuals and groups to promote optimum mental and emotional health. May help individuals deal with issues associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; and aging."
Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement."
"Counselors, All Other",All counselors not listed separately.
"Child, Family, and School Social Workers","Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers."
Healthcare Social Workers,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family care givers, providing patient education and counseling, and making referrals for other services. May also provide care and case management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare."
Mental Health and Substance Abuse Social Workers,"Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education."
"Social Workers, All Other",All social workers not listed separately.
Health Educators,"Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Collect and analyze data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May serve as a resource to assist individuals, other healthcare workers, or the community, and may administer fiscal resources for health education programs."
Probation Officers and Correctional Treatment Specialists,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations."
Social and Human Service Assistants,"Assist in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care."
Community Health Workers,"Assist individuals and communities to adopt healthy behaviors. Conduct outreach for medical personnel or health organizations to implement programs in the community that promote, maintain, and improve individual and community health. May provide information on available resources, provide social support and informal counseling, advocate for individuals and community health needs, and provide services such as first aid and blood pressure screening. May collect data to help identify community health needs."
"Community and Social Service Specialists, All Other",All community and social service specialists not listed separately.
Clergy,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.
"Directors, Religious Activities and Education","Plan, direct, or coordinate programs designed to promote the religious education or activities of a denominational group. May provide counseling and guidance relative to marital, health, financial, and religious problems."
"Religious Workers, All Other",All religious workers not listed separately.
Lawyers,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law."
Judicial Law Clerks,Assist judges in court or by conducting research or preparing legal documents.
"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements."
"Arbitrators, Mediators, and Conciliators",Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.
"Judges, Magistrate Judges, and Magistrates","Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies."
Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action."
Court Reporters,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers."
"Title Examiners, Abstractors, and Searchers","Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies."
"Legal Support Workers, All Other",All legal support workers not listed separately.
"Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Computer Science Teachers, Postsecondary","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Mathematical Science Teachers, Postsecondary","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Architecture Teachers, Postsecondary","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Engineering Teachers, Postsecondary","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Agricultural Sciences Teachers, Postsecondary","Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Biological Science Teachers, Postsecondary",Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Forestry and Conservation Science Teachers, Postsecondary",Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research."
"Chemistry Teachers, Postsecondary","Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research."
"Environmental Science Teachers, Postsecondary",Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Physics Teachers, Postsecondary",Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Anthropology and Archeology Teachers, Postsecondary",Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Economics Teachers, Postsecondary",Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Geography Teachers, Postsecondary",Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Political Science Teachers, Postsecondary","Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Psychology Teachers, Postsecondary","Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Sociology Teachers, Postsecondary",Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Social Sciences Teachers, Postsecondary, All Other",All postsecondary social sciences teachers not listed separately.
"Health Specialties Teachers, Postsecondary","Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine."
"Nursing Instructors and Teachers, Postsecondary",Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Education Teachers, Postsecondary","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Library Science Teachers, Postsecondary",Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Criminal Justice and Law Enforcement Teachers, Postsecondary","Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Law Teachers, Postsecondary",Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Social Work Teachers, Postsecondary",Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Art, Drama, and Music Teachers, Postsecondary","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Communications Teachers, Postsecondary","Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"English Language and Literature Teachers, Postsecondary","Teach courses in English language and literature, including linguistics and comparative literature. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Foreign Language and Literature Teachers, Postsecondary",Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"History Teachers, Postsecondary",Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
"Philosophy and Religion Teachers, Postsecondary","Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
Graduate Teaching Assistants,"Assist faculty or other instructional staff in postsecondary institutions by performing teaching or teaching-related duties, such as teaching lower level courses, developing teaching materials, preparing and giving examinations, and grading examinations or papers. Graduate teaching assistants must be enrolled in a graduate school program. Graduate assistants who primarily perform non-teaching duties, such as research, should be reported in the occupational category related to the work performed."
"Home Economics Teachers, Postsecondary","Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Recreation and Fitness Studies Teachers, Postsecondary","Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Vocational Education Teachers, Postsecondary","Teach or instruct vocational or occupational subjects at the postsecondary level (but at less than the baccalaureate) to students who have graduated or left high school. Includes correspondence school, industrial, and commercial instructors; and adult education teachers and instructors who prepare persons to operate industrial machinery and equipment and transportation and communications equipment. Teaching may take place in public or private schools whose primary business is education or in a school associated with an organization whose primary business is other than education."
"Postsecondary Teachers, All Other",All postsecondary teachers not listed separately.
"Preschool Teachers, Except Special Education","Instruct preschool-aged children in activities designed to promote social, physical, and intellectual growth needed for primary school in preschool, day care center, or other child development facility. May be required to hold State certification."
"Kindergarten Teachers, Except Special Education","Teach elemental natural and social science, personal hygiene, music, art, and literature to kindergarten students. Promote physical, mental, and social development. May be required to hold State certification."
"Elementary School Teachers, Except Special Education","Teach students basic academic, social, and other formative skills in public or private schools at the elementary level."
